model_name,validation_best_f1_threshold,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_average_precision_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_average_precision_pr_auc,test_review_count,test_true_positives,test_false_positives,test_false_negatives
adaboost_depth2_weighted,0.5757550645119145,0.15384615384615385,0.4,0.2222222222222222,0.6725390625000001,0.11582897749131958,0.11475409836065574,0.35,0.1728395061728395,0.6417447916666668,0.12312698155824243,122,14,108,26
adaboost_weighted,0.5384614399606098,0.14705882352941177,0.375,0.21126760563380279,0.6652213541666667,0.09493637141685773,0.12396694214876033,0.375,0.18633540372670807,0.6654557291666666,0.10230054093476944,121,15,106,25
gradient_boosting_weighted,0.683832402975536,0.19607843137254902,0.25,0.2197802197802198,0.6552473958333334,0.09399461973865986,0.08333333333333333,0.125,0.1,0.6460156250000001,0.0868773654929164,60,5,55,35
logistic_regression_balanced,0.6415318749237477,0.1746031746031746,0.275,0.21359223300970875,0.6884375,0.14460023184575865,0.10256410256410256,0.2,0.13559322033898305,0.6357552083333333,0.08356806726252791,78,8,70,32
extra_trees_balanced,0.6023304996090236,0.13333333333333333,0.2,0.16,0.674453125,0.08079045168954,0.11594202898550725,0.2,0.14678899082568808,0.5943749999999999,0.07296356067191352,69,8,61,32
random_forest_balanced,0.4830819996843915,0.1262135922330097,0.325,0.1818181818181818,0.6436458333333333,0.07618932094083451,0.08264462809917356,0.25,0.12422360248447205,0.5989583333333334,0.06650008912313257,121,10,111,30
