model_name,validation_best_f1_threshold,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_average_precision_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_average_precision_pr_auc,test_review_count,test_true_positives,test_false_positives,test_false_negatives
adaboost_depth2_weighted,0.646029936577511,0.16666666666666666,0.325,0.22033898305084745,0.65078125,0.12227849550081149,0.15294117647058825,0.325,0.208,0.6577864583333335,0.14142808522302067,85,13,72,27
gradient_boosting_weighted,0.5457285223819,0.11888111888111888,0.425,0.18579234972677594,0.6457291666666667,0.0775913532725665,0.11594202898550725,0.4,0.1797752808988764,0.6385937500000001,0.12983780007790102,138,16,122,24
adaboost_weighted,0.5726663817626334,0.15294117647058825,0.325,0.20800000000000002,0.6405989583333335,0.08877239925518458,0.14893617021276595,0.35,0.208955223880597,0.6351171875000001,0.09820910477321029,94,14,80,26
random_forest_balanced,0.38666670810117026,0.07272727272727272,0.5,0.12698412698412698,0.6263802083333334,0.06395892670457992,0.07662835249042145,0.5,0.132890365448505,0.6634114583333334,0.0920259719593005,261,20,241,20
logistic_regression_balanced,0.6028188554308583,0.10576923076923077,0.275,0.15277777777777776,0.6611718750000001,0.10289779909300682,0.10344827586206896,0.3,0.15384615384615385,0.6610156249999999,0.09080872172707394,116,12,104,28
extra_trees_balanced,0.4846429244196959,0.06557377049180328,0.4,0.11267605633802817,0.6165364583333334,0.05496165799002033,0.058365758754863814,0.375,0.10101010101010101,0.621171875,0.08903151557598296,257,15,242,25
